Pergunta;Alternativa 1;Alternativa 2;Alternativa 3;Alternativa 4;Alternativa 5;Alternativa 6
"Como a organização e os colaboradores lidam com a necessidade de mudanças?";"A organização resiste a mudanças e prefere manter o status quo.";"Mudanças são vistas com desconfiança e são realizadas apenas quando extremamente necessárias.";"Há algum reconhecimento da necessidade de mudança, mas a iniciativa parte apenas da alta liderança.";"A maioria dos colaboradores entende a necessidade de mudança e participa de iniciativas para melhorar processos.";"Mudanças são regularmente propostas por diferentes níveis da organização, com colaboração entre equipes.";"Todos os colaboradores estão constantemente em busca de melhorias e se adaptam rapidamente a novas realidades."
"Qual é a atitude da organização em relação à experimentação e aos erros?";"A organização desestimula experimentos e erros são vistos como falhas graves.";"Há alguma permissão para experimentar, mas os erros ainda são punidos.";"A experimentação é incentivada em projetos específicos, mas os erros ainda geram consequências negativas.";"A experimentação é incentivada e os erros são discutidos em equipe para aprendizado, sem punição.";"A experimentação é parte do dia a dia e os erros são vistos como oportunidades de aprendizado.";"A experimentação é parte da cultura e os erros são abertamente compartilhados e documentados como aprendizado coletivo."
"Como a organização recebe e implementa novas ideias propostas pelos colaboradores?";"Novas ideias são rejeitadas ou ignoradas.";"Ideias são aceitas apenas se vierem da liderança.";"Algumas novas ideias são consideradas, mas a maioria não é implementada.";"A organização tem canais formais para receber novas ideias e algumas são implementadas.";"Novas ideias são ativamente incentivadas, discutidas e muitas são testadas.";"A organização cria um ambiente aberto onde todos os colaboradores podem propor e testar novas ideias livremente."
"Qual é o nível de colaboração entre os colaboradores e equipes?";"Colaboradores trabalham de forma isolada, sem colaboração entre departamentos.";"Há alguma colaboração, mas existe desconfiança entre equipes.";"Colaboradores colaboram apenas quando necessário.";"A colaboração entre equipes é frequente e há troca de conhecimentos, mas ainda existem silos.";"A colaboração é incentivada e praticada, com trocas regulares de conhecimentos e experiências.";"A colaboração é natural e constante, com equipes trabalhando em conjunto para o sucesso do todo."
"Como a liderança envolve os colaboradores nas decisões e valoriza suas contribuições?";"A liderança toma decisões de forma centralizada, sem consultar os colaboradores.";"Colaboradores são ouvidos apenas em questões muito específicas.";"A liderança consulta os colaboradores ocasionalmente, mas as decisões principais são tomadas no topo.";"A liderança frequentemente envolve os colaboradores em discussões e considera suas opiniões.";"Os colaboradores são ativos no processo decisório, com a liderança facilitando a comunicação.";"A liderança adota uma postura colaborativa, envolvendo todos nas decisões e promovendo um ambiente de transparência."
"Como a organização promove a comunicação entre colaboradores e departamentos?";"A comunicação é fechada e limitada, com informações centralizadas apenas na liderança.";"Informações são compartilhadas apenas quando necessário.";"A comunicação é aberta em alguns departamentos, mas ainda há barreiras hierárquicas.";"A comunicação é aberta, com poucos entraves hierárquicos, mas com limitações em algumas áreas.";"A comunicação é amplamente incentivada, com informações fluindo livremente entre departamentos.";"A comunicação é aberta, transparente e fluida entre todos os níveis da organização, sem barreiras."
"Como a organização pratica a transparência em seus processos e informações?";"As decisões e processos são fechados e não transparentes.";"Apenas informações essenciais são compartilhadas com os colaboradores.";"A transparência existe em algumas áreas, mas muitas decisões ainda são tomadas a portas fechadas.";"A maioria das informações é compartilhada com os colaboradores, mas alguns processos ainda são opacos.";"A organização compartilha abertamente informações e processos com todos os colaboradores.";"Transparência total é praticada, com acesso aberto a informações e processos para todos na organização."
"Como a organização se prepara e adapta às mudanças do ambiente externo?";"A organização reage apenas a mudanças quando é forçada a fazê-lo.";"A organização se adapta lentamente a mudanças conhecidas.";"A organização monitora o ambiente externo, mas a adaptação é limitada e reativa.";"A organização antecipa algumas mudanças e adapta suas estratégias de forma proativa.";"A organização possui um processo contínuo de monitoramento e adaptação a mudanças externas.";"A organização se antecipa a mudanças e adapta suas estratégias de forma ágil e eficiente, envolvendo todos os níveis."
"Como a organização lida com crises e situações imprevistas?";"A organização entra em crise facilmente e demora a se recuperar.";"A organização se recupera lentamente de crises, com impactos prolongados.";"A organização lida com crises conhecidas, mas tem dificuldade em se adaptar a situações inesperadas.";"A organização se adapta razoavelmente bem a crises, com recuperação em tempo adequado.";"A organização é resiliente e se recupera rapidamente de crises e falhas.";"A organização é altamente resiliente e flexível, adaptando-se rapidamente a qualquer situação, prevista ou não."
"Como a organização trata a segurança cibernética em sua cultura?";"Segurança cibernética não é uma prioridade, e os colaboradores não estão cientes dos riscos.";"A segurança cibernética é tratada apenas como uma responsabilidade da equipe de TI.";"Há conscientização básica sobre segurança cibernética, mas falta uma cultura integrada de segurança.";"A segurança cibernética é considerada importante e há treinamentos regulares para os colaboradores.";"Todos os colaboradores entendem a importância da segurança cibernética e seguem boas práticas.";"A segurança cibernética é parte integrante da cultura organizacional, com todos colaborando ativamente para proteger as informações."
